Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes,source.file
Army,Military Personnel,1948,Constant,34498e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1948,Constant,23473e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1948,Constant,407e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1948,Constant,1164e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1948,Constant,1014e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1948,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1948,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1948,Constant,-2773e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1948,Current,1686e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1948,Current,1224e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1948,Current,4e7,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1948,Current,94e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1948,Current,117e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1948,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1948,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1948,Current,-321e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1949,Constant,39226e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1949,Constant,26697e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1949,Constant,3686e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1949,Constant,1246e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1949,Constant,196e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1949,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1949,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1949,Constant,-1474e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1949,Current,1931e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1949,Current,1691e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1949,Current,439e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1949,Current,11e7,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1949,Current,21e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1949,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1949,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1949,Current,-181e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1950,Constant,37004e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1950,Constant,24276e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1950,Constant,2679e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1950,Constant,1248e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1950,Constant,956e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1950,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1950,Constant,845e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1950,Constant,-603e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1950,Current,1973e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1950,Current,1736e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1950,Current,308e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1950,Current,117e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1950,Current,116e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1950,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1950,Current,101e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1950,Current,-72e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1951,Constant,71971e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1951,Constant,59265e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1951,Constant,63881e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1951,Constant,355e7,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1951,Constant,4332e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1951,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1951,Constant,2042e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1951,Constant,-559e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1951,Current,4323e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1951,Current,5847e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1951,Current,8288e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1951,Current,336e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1951,Current,531e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1951,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1951,Current,267e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1951,Current,-73e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1952,Constant,87615e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
