"FY","econ.deflator.name","econ.deflator.value","Deflator.Base.Year","Deflator.Source","Deflator.Notes"
1970,"Gross.Domestic.Product",0.1963,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1971,"Gross.Domestic.Product",0.2063,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1972,"Gross.Domestic.Product",0.216,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1973,"Gross.Domestic.Product",0.2254,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1974,"Gross.Domestic.Product",0.2414,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1975,"Gross.Domestic.Product",0.2664,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1976,"Gross.Domestic.Product",0.2848,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1977,"Gross.Domestic.Product",0.3054,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1978,"Gross.Domestic.Product",0.3259,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1979,"Gross.Domestic.Product",0.3521,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1980,"Gross.Domestic.Product",0.3827,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1981,"Gross.Domestic.Product",0.4202,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1982,"Gross.Domestic.Product",0.449,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1983,"Gross.Domestic.Product",0.4688,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1984,"Gross.Domestic.Product",0.4853,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1985,"Gross.Domestic.Product",0.5014,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1986,"Gross.Domestic.Product",0.5128,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1987,"Gross.Domestic.Product",0.5243,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1988,"Gross.Domestic.Product",0.5413,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1989,"Gross.Domestic.Product",0.5628,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1990,"Gross.Domestic.Product",0.5832,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1991,"Gross.Domestic.Product",0.6038,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1992,"Gross.Domestic.Product",0.6186,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1993,"Gross.Domestic.Product",0.6333,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1994,"Gross.Domestic.Product",0.6471,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1995,"Gross.Domestic.Product",0.6609,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
