Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Military Personnel,1948,Constant,35384e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1948,Constant,2408e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1948,Constant,415e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1948,Constant,1194e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1948,Constant,1039e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1948,Constant,-2829e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1948,Current,1686e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1948,Current,1224e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1948,Current,4e7,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1948,Current,94e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1948,Current,117e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1948,Current,-321e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1949,Constant,40221e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1949,Constant,27368e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1949,Constant,3761e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1949,Constant,1272e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1949,Constant,2e8,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1949,Constant,-1503e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1949,Current,1931e6,tbl.6-19,All enacted war and supplemental funding is included
