Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Military Personnel,1948,Constant,36357e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1948,Constant,24212e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1948,Constant,42e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1948,Constant,1205e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1948,Constant,105e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1948,Constant,-2863e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1948,Current,1686e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1948,Current,1224e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1948,Current,4e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1948,Current,94e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1948,Current,117e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1948,Current,-321e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1949,Constant,41337e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1949,Constant,27522e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1949,Constant,3805e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1949,Constant,1281e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1949,Constant,202e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1949,Constant,-1521e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1949,Current,1931e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1949,Current,1691e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1949,Current,439e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1949,Current,11e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1949,Current,21e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1949,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1949,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1949,Current,-181e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1950,Constant,39007e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1950,Constant,25064e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1950,Constant,2765e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1950,Constant,1297e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1950,Constant,993e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1950,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1950,Constant,873e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1950,Constant,-622e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1950,Current,1973e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1950,Current,1736e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1950,Current,308e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1950,Current,117e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1950,Current,116e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1950,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1950,Current,101e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1950,Current,-72e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1951,Constant,75815e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1951,Constant,61118e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1951,Constant,65939e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1951,Constant,3642e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
