FY,Service,Active.or.Civilians,Personnel
1940,Army,Active,218e3
1941,Army,Active,131e4
1942,Army,Active,2311e3
1943,Army,Active,4797e3
1944,Army,Active,5622e3
1945,Army,Active,5984e3
1946,Army,Active,1435e3
1947,Army,Active,685e3
1948,Army,Active,554e3
1949,Army,Active,66e4
1950,Army,Active,593e3
1951,Army,Active,1532e3
1952,Army,Active,1596e3
1953,Army,Active,1534e3
1954,Army,Active,1405e3
1955,Army,Active,1109e3
1956,Army,Active,1026e3
1957,Army,Active,998e3
1958,Army,Active,899e3
1959,Army,Active,862e3
1960,Army,Active,873e3
1961,Army,Active,859e3
1962,Army,Active,1066e3
1963,Army,Active,976e3
1964,Army,Active,973e3
1965,Army,Active,969e3
1966,Army,Active,12e5
1967,Army,Active,1442e3
1968,Army,Active,157e4
1969,Army,Active,1512e3
1970,Army,Active,1322e3
1971,Army,Active,1123e3
1972,Army,Active,811e3
1973,Army,Active,801e3
1974,Army,Active,783e3
1975,Army,Active,784e3
1976,Army,Active,779e3
1977,Army,Active,782e3
1978,Army,Active,771e3
1979,Army,Active,758e3
1980,Army,Active,777e3
1981,Army,Active,781e3
1982,Army,Active,78e4
1983,Army,Active,78e4
1984,Army,Active,78e4
1985,Army,Active,781e3
1986,Army,Active,781e3
1987,Army,Active,781e3
1988,Army,Active,772e3
1989,Army,Active,77e4
1990,Army,Active,751e3
1991,Army,Active,725e3
1992,Army,Active,611e3
1993,Army,Active,572e3
1994,Army,Active,541e3
1995,Army,Active,509e3
1996,Army,Active,491e3
1997,Army,Active,492e3
1998,Army,Active,484e3
1999,Army,Active,479e3
2000,Army,Active,482e3
2001,Army,Active,481e3
2002,Army,Active,487e3
2003,Army,Active,499e3
2004,Army,Active,5e5
2005,Army,Active,492e3
2006,Army,Active,505e3
2007,Army,Active,522e3
2008,Army,Active,544e3
2009,Army,Active,553e3
2010,Army,Active,566e3
2011,Army,Active,566e3
2012,Army,Active,55e4
2013,Army,Active,532e3
2014,Army,Active,508e3
2015,Army,Active,491e3
2016,Army,Active,475e3
2017,Army,Active,476245
2018,Army,Active,476e3
2019,Army,Active,488e3
1940,Navy,Active,161e3
1941,Navy,Active,284e3
1942,Navy,Active,641e3
1943,Navy,Active,1742e3
1944,Navy,Active,2981e3
1945,Navy,Active,332e4
1946,Navy,Active,978e3
1947,Navy,Active,498e3
1948,Navy,Active,418e3
1949,Navy,Active,448e3
1950,Navy,Active,381e3
1951,Navy,Active,737e3
1952,Navy,Active,824e3
1953,Navy,Active,794e3
1954,Navy,Active,726e3
1955,Navy,Active,661e3
1956,Navy,Active,67e4
1957,Navy,Active,676e3
1958,Navy,Active,64e4
1959,Navy,Active,626e3
1960,Navy,Active,617e3
1961,Navy,Active,626e3
1962,Navy,Active,666e3
