source.table,budget.type,deflator.type,pay.category,pay.type,FY,amount
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1948,2472000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1948,3428000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1948,175000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1948,804000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1948,1608000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1948,3416000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1948,56250000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1948,88881000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1948,3213000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1948,7473000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1948,18382000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1948,35775000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1948,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1949,2712000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1949,3747000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1949,193000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1949,854000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1949,1900000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1949,3798000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1949,57068000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1949,97411000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1949,3524000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1949,7576000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1949,20456000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1949,38169000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1949,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1950,2586000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1950,4154000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1950,197000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1950,788000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1950,1828000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1950,4784000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1950,51993000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1950,96065000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1950,3752000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1950,7048000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1950,19544000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1950,47392000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1950,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1951,3222000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1951,6890000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1951,324000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1951,1632000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1951,8855000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1951,24250000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1951,65670000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1951,149671000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1951,3827000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1951,13646000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1951,88037000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1951,222501000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1951,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1952,4780000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1952,9375000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1952,331000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1952,1766000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1952,9686000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1952,31251000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1952,91208000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1952,205058000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1952,3986000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1952,15171000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1952,97277000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1952,296940000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1952,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1953,5516000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1953,10097000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1953,356000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1953,2084000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1953,6419000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1953,19811000000
