source.table,budget.type,deflator.type,military.dept,FY,amount
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1948,3162000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1948,4469000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1948,4097000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1948,175000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1948,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1948,66998000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1948,77183000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1948,62575000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1948,3218000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1948,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1949,4034000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1949,4726000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1949,4244000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1949,200000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1949,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1949,77056000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1949,77617000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1949,65908000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1949,3622000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1949,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1950,4288000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1950,4517000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1950,5323000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1950,208000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1950,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1950,73508000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1950,72849000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1950,75504000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1950,3932000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1950,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1951,17453000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1951,12212000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1951,15102000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1951,405000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1951,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1951,206555000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1951,152423000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1951,179764000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1951,4610000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1951,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1952,21685000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1952,15147000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1952,19986000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1952,371000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1952,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1952,264816000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1952,198393000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1952,241975000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1952,4456000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1952,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1953,13475000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1953,11762000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1953,18650000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1953,397000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1953,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1953,188624000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1953,160125000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1953,223527000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1953,4689000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1953,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1954,9892000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1954,8080000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1954,12029000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1954,428000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1954,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1954,150531000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1954,124199000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1954,155861000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1954,5367000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1954,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1955,10813000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1955,9993000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1955,12469000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1955,514000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1955,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1955,149103000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1955,135729000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1955,155585000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1955,5902000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1955,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1956,9901000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1956,10615000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1956,16997000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1956,553000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1956,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1956,131206000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1956,137800000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1956,191716000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1956,6039000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1956,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1957,9919000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1957,10805000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1957,18449000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1957,551000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1957,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1957,129581000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1957,138187000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1957,200479000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1957,5898000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1957,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1958,9757000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1958,11550000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1958,19158000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1958,659000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1958,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1958,123125000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1958,141112000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1958,202782000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1958,6788000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1958,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1959,9555000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1959,12148000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1959,19599000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1959,892000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1959,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1959,116673000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1959,142223000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1959,200606000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1959,8247000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1959,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1960,9867000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1960,11727000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1960,17662000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1960,1001000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1960,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1960,116754000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1960,134317000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1960,182916000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1960,9251000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1960,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1961,10528000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1961,12820000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1961,20098000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1961,1197000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1961,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1961,119554000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1961,143516000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1961,199808000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1961,10909000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1961,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1962,12467000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1962,14592000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1962,19730000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1962,1646000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1962,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1962,137932000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1962,158459000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1962,198344000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1962,14683000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1962,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1963,11826000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1963,14657000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1963,20427000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1963,2510000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1963,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1963,130329000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1963,155836000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1963,200879000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1963,21919000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1963,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1964,12275000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1964,14450000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1964,19958000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1964,2864000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1964,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1964,129657000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1964,148537000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1964,192517000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1964,24572000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1964,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1965,12219000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1965,14856000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1965,19428000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1965,3057000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1965,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1965,125882000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1965,147186000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1965,183818000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1965,26028000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1965,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1966,18510000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1966,19185000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1966,23309000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1966,3527000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1966,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1966,165639000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1966,172067000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1966,204050000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1966,29218000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1966,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1967,22369000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1967,21190000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1967,24270000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1967,3760000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1967,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1967,193116000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1967,183526000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1967,207017000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1967,30719000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1967,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1968,24962000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1968,20781000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1968,24974000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1968,4247000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1968,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1968,207322000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1968,174095000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1968,206132000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1968,33486000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1968,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1969,25769000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1969,21552000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1969,25857000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1969,4574000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1969,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1969,205946000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1969,172390000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1969,203817000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1969,34735000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1969,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1970,23963000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1970,22462000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1970,23875000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1970,5212000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1970,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1970,181899000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1970,167260000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1970,179973000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1970,36883000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1970,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1971,22280000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1971,21691000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1971,23016000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1971,5859000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1971,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1971,161060000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1971,150758000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1971,163602000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1971,38201000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1971,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1972,22094000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1972,24041000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1972,23799000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1972,6533000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1972,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1972,145222000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1972,152724000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1972,155324000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1972,40067000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1972,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1973,21480000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1973,25324000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1973,24696000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1973,7425000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1973,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1973,129726000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1973,147598000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1973,147277000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1973,42980000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1973,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1974,21548000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1974,26934000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1974,24772000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1974,8439000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1974,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1974,120551000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1974,143061000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1974,135738000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1974,44874000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1974,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1975,21644000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1975,27962000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1975,26024000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1975,10501000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1975,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1975,113142000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1975,137245000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1975,131171000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1975,48983000000
