budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,current,MILPERS,1948,1688000000
outlays,army,6.16,current,O.M.,1948,1232000000
outlays,army,6.16,current,Procurement,1948,59000000
outlays,army,6.16,current,RDT.E,1948,96000000
outlays,army,6.16,current,MILCON,1948,87000000
outlays,army,6.16,current,family.housing,1948,0
outlays,army,6.16,current,revolving.and.management,1948,0
outlays,army,6.16,constant,MILPERS,1948,38564000000
outlays,army,6.16,constant,O.M.,1948,25701000000
outlays,army,6.16,constant,Procurement,1948,619000000
outlays,army,6.16,constant,RDT.E,1948,1287000000
outlays,army,6.16,constant,MILCON,1948,827000000
outlays,army,6.16,constant,family.housing,1948,0
outlays,army,6.16,constant,revolving.and.management,1948,0
outlays,army,6.16,current,MILPERS,1949,1900000000
outlays,army,6.16,current,O.M.,1949,1619000000
outlays,army,6.16,current,Procurement,1949,324000000
outlays,army,6.16,current,RDT.E,1949,104000000
outlays,army,6.16,current,MILCON,1949,87000000
outlays,army,6.16,current,family.housing,1949,0
outlays,army,6.16,current,revolving.and.management,1949,0
outlays,army,6.16,constant,MILPERS,1949,43529000000
outlays,army,6.16,constant,O.M.,1949,28446000000
outlays,army,6.16,constant,Procurement,1949,2978000000
outlays,army,6.16,constant,RDT.E,1949,1298000000
outlays,army,6.16,constant,MILCON,1949,805000000
outlays,army,6.16,constant,family.housing,1949,0
outlays,army,6.16,constant,revolving.and.management,1949,0
outlays,army,6.16,current,MILPERS,1950,1984000000
outlays,army,6.16,current,O.M.,1950,1671000000
outlays,army,6.16,current,Procurement,1950,400000000
outlays,army,6.16,current,RDT.E,1950,117000000
outlays,army,6.16,current,MILCON,1950,116000000
outlays,army,6.16,current,family.housing,1950,0
outlays,army,6.16,current,revolving.and.management,1950,0
outlays,army,6.16,constant,MILPERS,1950,41468000000
outlays,army,6.16,constant,O.M.,1950,25900000000
outlays,army,6.16,constant,Procurement,1950,3735000000
outlays,army,6.16,constant,RDT.E,1950,1363000000
outlays,army,6.16,constant,MILCON,1950,1042000000
outlays,army,6.16,constant,family.housing,1950,0
outlays,army,6.16,constant,revolving.and.management,1950,0
outlays,army,6.16,current,MILPERS,1951,4256000000
outlays,army,6.16,current,O.M.,1951,5525000000
outlays,army,6.16,current,Procurement,1951,7075000000
outlays,army,6.16,current,RDT.E,1951,288000000
outlays,army,6.16,current,MILCON,1951,309000000
outlays,army,6.16,current,family.housing,1951,0
outlays,army,6.16,current,revolving.and.management,1951,0
outlays,army,6.16,constant,MILPERS,1951,79726000000
outlays,army,6.16,constant,O.M.,1951,61512000000
outlays,army,6.16,constant,Procurement,1951,59122000000
outlays,army,6.16,constant,RDT.E,1951,3429000000
outlays,army,6.16,constant,MILCON,1951,2766000000
outlays,army,6.16,constant,family.housing,1951,0
outlays,army,6.16,constant,revolving.and.management,1951,0
outlays,army,6.16,current,MILPERS,1952,4993000000
outlays,army,6.16,current,O.M.,1952,6697000000
outlays,army,6.16,current,Procurement,1952,8992000000
outlays,army,6.16,current,RDT.E,1952,456000000
outlays,army,6.16,current,MILCON,1952,548000000
outlays,army,6.16,current,family.housing,1952,0
outlays,army,6.16,current,revolving.and.management,1952,0
outlays,army,6.16,constant,MILPERS,1952,98373000000
outlays,army,6.16,constant,O.M.,1952,78023000000
outlays,army,6.16,constant,Procurement,1952,78616000000
outlays,army,6.16,constant,RDT.E,1952,4982000000
outlays,army,6.16,constant,MILCON,1952,4822000000
outlays,army,6.16,constant,family.housing,1952,0
outlays,army,6.16,constant,revolving.and.management,1952,0
outlays,army,6.16,current,MILPERS,1953,5352000000
outlays,army,6.16,current,O.M.,1953,4758000000
outlays,army,6.16,current,Procurement,1953,2334000000
outlays,army,6.16,current,RDT.E,1953,525000000
outlays,army,6.16,current,MILCON,1953,507000000
outlays,army,6.16,current,family.housing,1953,0
outlays,army,6.16,current,revolving.and.management,1953,0
outlays,army,6.16,constant,MILPERS,1953,97810000000
outlays,army,6.16,constant,O.M.,1953,58763000000
outlays,army,6.16,constant,Procurement,1953,21910000000
outlays,army,6.16,constant,RDT.E,1953,5664000000
outlays,army,6.16,constant,MILCON,1953,4477000000
outlays,army,6.16,constant,family.housing,1953,0
outlays,army,6.16,constant,revolving.and.management,1953,0
outlays,army,6.16,current,MILPERS,1954,4696000000
outlays,army,6.16,current,O.M.,1954,3328000000
outlays,army,6.16,current,Procurement,1954,910000000
outlays,army,6.16,current,RDT.E,1954,592000000
