budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,current,MILPERS,1948,1904000000
outlays,army,6.22,current,O.M.,1948,1538000000
outlays,army,6.22,current,Procurement,1948,44000000
outlays,army,6.22,current,RDT.E,1948,91000000
outlays,army,6.22,current,MILCON,1948,73000000
outlays,army,6.22,current,family.housing,1948,0
outlays,army,6.22,current,revolving.and.management,1948,67000000
outlays,army,6.22,current,trust.receipts.and.other,1948,-321000000
outlays,army,6.22,constant,MILPERS,1948,40603000000
outlays,army,6.22,constant,O.M.,1948,28636000000
outlays,army,6.22,constant,Procurement,1948,478000000
outlays,army,6.22,constant,RDT.E,1948,1253000000
outlays,army,6.22,constant,MILCON,1948,709000000
outlays,army,6.22,constant,family.housing,1948,0
outlays,army,6.22,constant,revolving.and.management,1948,627000000
outlays,army,6.22,constant,trust.receipts.and.other,1948,-3002000000
outlays,army,6.22,current,MILPERS,1949,1802000000
outlays,army,6.22,current,O.M.,1949,1540000000
outlays,army,6.22,current,Procurement,1949,251000000
outlays,army,6.22,current,RDT.E,1949,90000000
outlays,army,6.22,current,MILCON,1949,51000000
outlays,army,6.22,current,family.housing,1949,0
outlays,army,6.22,current,revolving.and.management,1949,-65000000
outlays,army,6.22,current,trust.receipts.and.other,1949,-181000000
outlays,army,6.22,constant,MILPERS,1949,42645000000
outlays,army,6.22,constant,O.M.,1949,27669000000
outlays,army,6.22,constant,Procurement,1949,2335000000
outlays,army,6.22,constant,RDT.E,1949,1160000000
outlays,army,6.22,constant,MILCON,1949,474000000
outlays,army,6.22,constant,family.housing,1949,0
outlays,army,6.22,constant,revolving.and.management,1949,-573000000
outlays,army,6.22,constant,trust.receipts.and.other,1949,-1595000000
outlays,army,6.22,current,MILPERS,1950,1984000000
outlays,army,6.22,current,O.M.,1950,1649000000
outlays,army,6.22,current,Procurement,1950,292000000
outlays,army,6.22,current,RDT.E,1950,117000000
outlays,army,6.22,current,MILCON,1950,77000000
outlays,army,6.22,current,family.housing,1950,0
outlays,army,6.22,current,revolving.and.management,1950,-131000000
outlays,army,6.22,current,trust.receipts.and.other,1950,-72000000
outlays,army,6.22,constant,MILPERS,1950,41504000000
outlays,army,6.22,constant,O.M.,1950,25884000000
outlays,army,6.22,constant,Procurement,1950,2756000000
outlays,army,6.22,constant,RDT.E,1950,1391000000
outlays,army,6.22,constant,MILCON,1950,723000000
outlays,army,6.22,constant,family.housing,1950,0
outlays,army,6.22,constant,revolving.and.management,1950,-1187000000
outlays,army,6.22,constant,trust.receipts.and.other,1950,-652000000
outlays,army,6.22,current,MILPERS,1951,3383000000
outlays,army,6.22,current,O.M.,1951,3217000000
outlays,army,6.22,current,Procurement,1951,449000000
outlays,army,6.22,current,RDT.E,1951,202000000
outlays,army,6.22,current,MILCON,1951,97000000
outlays,army,6.22,current,family.housing,1951,0
outlays,army,6.22,current,revolving.and.management,1951,120000000
outlays,army,6.22,current,trust.receipts.and.other,1951,-73000000
outlays,army,6.22,constant,MILPERS,1951,72420000000
outlays,army,6.22,constant,O.M.,1951,40928000000
outlays,army,6.22,constant,Procurement,1951,4321000000
outlays,army,6.22,constant,RDT.E,1951,2642000000
outlays,army,6.22,constant,MILCON,1951,888000000
outlays,army,6.22,constant,family.housing,1951,0
outlays,army,6.22,constant,revolving.and.management,1951,993000000
outlays,army,6.22,constant,trust.receipts.and.other,1951,-605000000
outlays,army,6.22,current,MILPERS,1952,5273000000
outlays,army,6.22,current,O.M.,1952,5961000000
outlays,army,6.22,current,Procurement,1952,3950000000
outlays,army,6.22,current,RDT.E,1952,373000000
outlays,army,6.22,current,MILCON,1952,353000000
outlays,army,6.22,current,family.housing,1952,0
outlays,army,6.22,current,revolving.and.management,1952,-275000000
outlays,army,6.22,current,trust.receipts.and.other,1952,-74000000
outlays,army,6.22,constant,MILPERS,1952,100749000000
outlays,army,6.22,constant,O.M.,1952,71265000000
outlays,army,6.22,constant,Procurement,1952,35417000000
outlays,army,6.22,constant,RDT.E,1952,4246000000
outlays,army,6.22,constant,MILCON,1952,3189000000
outlays,army,6.22,constant,family.housing,1952,0
outlays,army,6.22,constant,revolving.and.management,1952,-2352000000
outlays,army,6.22,constant,trust.receipts.and.other,1952,-631000000
outlays,army,6.22,current,MILPERS,1953,5006000000
outlays,army,6.22,current,O.M.,1953,4580000000
outlays,army,6.22,current,Procurement,1953,5713000000
outlays,army,6.22,current,RDT.E,1953,490000000
outlays,army,6.22,current,MILCON,1953,535000000
outlays,army,6.22,current,family.housing,1953,0
outlays,army,6.22,current,revolving.and.management,1953,1000000
outlays,army,6.22,current,trust.receipts.and.other,1953,-78000000
outlays,army,6.22,constant,MILPERS,1953,94839000000
outlays,army,6.22,constant,O.M.,1953,56898000000
