budget.type,deflator.type,spending.category,source.table,public.law.title,FY,amount
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1948,4232000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1948,175000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1948,3881000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1948,2995000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1948,405000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1948,215000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1948,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1948,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1948,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1948,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1948,96354000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1948,3213000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1948,70104000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1948,33377000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1948,4896000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1948,2030000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1948,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1948,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1948,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1948,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1949,4601000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1949,193000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1949,4436000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1949,3251000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1949,484000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1949,239000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1949,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1949,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1949,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1949,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1949,104987000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1949,3524000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1949,73821000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1949,34726000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1949,4949000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1949,2196000000
