budget.type,deflator.type,pay.category,source.table,FY,amount
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1948,2472000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1948,3428000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1948,175000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,0
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,804000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,1608000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,3416000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,0
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1948,56250000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1948,88881000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1948,3213000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,0
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,7473000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,18382000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,35775000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1948,0
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1949,2712000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1949,3747000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1949,193000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,0
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,854000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,1900000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,3798000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,0
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1949,57068000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1949,97411000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1949,3524000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,0
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,7576000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,20456000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,38169000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1949,0
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1950,2586000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1950,4154000000
TOA,current,pay,tbl.6.02.TOA.by.Pay.Category,1950,197000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,0
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,788000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,1828000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,4784000000
TOA,current,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,0
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1950,51993000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1950,96065000000
TOA,constant,pay,tbl.6.02.TOA.by.Pay.Category,1950,3752000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,0
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,7048000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,19544000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,47392000000
TOA,constant,non.pay,tbl.6.02.TOA.by.Pay.Category,1950,0
