source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1948,4301000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1948,175000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1948,3858000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1948,3695000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1948,461000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1948,253000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1948,-943000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1948,96995000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1948,3213000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1948,69841000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1948,41006000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1948,5412000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1948,2379000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1948,-8818000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1948,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1949,4507000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1949,193000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1949,4191000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1949,1745000000
