Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Military Personnel  .............................................................................................,1948,constant,38546000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1948,constant,25625000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1948,constant,441000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1948,constant,1269000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1948,constant,1103000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1948,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1948,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1948,constant,-3002000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1948,current,1686000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1948,current,1224000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1948,current,40000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1948,current,94000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1948,current,117000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1948,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1948,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1948,current,-321000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1949,constant,43804000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1949,constant,29100000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1949,constant,3992000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1949,constant,1352000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1949,constant,213000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1949,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1949,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1949,constant,-1595000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1949,current,1931000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1949,current,1691000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1949,current,439000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1949,current,110000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1949,current,21000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1949,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
