FY,Service,Active.or.Civilians,personnel
1940,Army,Active,218000
1940,Navy,Active,161000
1940,Marine Corps,Active,28000
1940,Air Force,Active,51000
1940,Space Force,Active,0
1940,Full Time Guard and Reserve,Active,0
1940,Army,Civilians,137000
1940,Navy and Marine Corps,Civilians,119000
1940,Air Force,Civilians,0
1940,Space Force,Civilians,0
1940,Defense Agencies,Civilians,0
1941,Army,Active,1310000
1941,Navy,Active,284000
1941,Marine Corps,Active,54000
1941,Air Force,Active,152000
1941,Space Force,Active,0
1941,Full Time Guard and Reserve,Active,0
1941,Army,Civilians,329000
1941,Navy and Marine Corps,Civilians,227000
1941,Air Force,Civilians,0
1941,Space Force,Civilians,0
1941,Defense Agencies,Civilians,0
1942,Army,Active,2311000
1942,Navy,Active,641000
1942,Marine Corps,Active,143000
1942,Air Force,Active,764000
1942,Space Force,Active,0
1942,Full Time Guard and Reserve,Active,0
1942,Army,Civilians,852000
1942,Navy and Marine Corps,Civilians,432000
1942,Air Force,Civilians,0
1942,Space Force,Civilians,0
1942,Defense Agencies,Civilians,0
1943,Army,Active,4797000
1943,Navy,Active,1742000
1943,Marine Corps,Active,309000
1943,Air Force,Active,2197000
1943,Space Force,Active,0
1943,Full Time Guard and Reserve,Active,0
1943,Army,Civilians,1545000
1943,Navy and Marine Corps,Civilians,648000
1943,Air Force,Civilians,0
1943,Space Force,Civilians,0
1943,Defense Agencies,Civilians,0
1944,Army,Active,5622000
1944,Navy,Active,2981000
1944,Marine Corps,Active,476000
1944,Air Force,Active,2372000
1944,Space Force,Active,0
1944,Full Time Guard and Reserve,Active,0
1944,Army,Civilians,1503000
1944,Navy and Marine Corps,Civilians,736000
1944,Air Force,Civilians,0
1944,Space Force,Civilians,0
1944,Defense Agencies,Civilians,0
1945,Army,Active,5984000
1945,Navy,Active,3320000
1945,Marine Corps,Active,470000
1945,Air Force,Active,2282000
1945,Space Force,Active,0
1945,Full Time Guard and Reserve,Active,0
1945,Army,Civilians,1881000
1945,Navy and Marine Corps,Civilians,747000
1945,Air Force,Civilians,0
1945,Space Force,Civilians,0
1945,Defense Agencies,Civilians,0
1946,Army,Active,1435000
1946,Navy,Active,978000
1946,Marine Corps,Active,156000
1946,Air Force,Active,456000
1946,Space Force,Active,0
1946,Full Time Guard and Reserve,Active,0
1946,Army,Civilians,927000
1946,Navy and Marine Corps,Civilians,489000
1946,Air Force,Civilians,0
1946,Space Force,Civilians,0
1946,Defense Agencies,Civilians,0
1947,Army,Active,685000
1947,Navy,Active,498000
1947,Marine Corps,Active,93000
1947,Air Force,Active,306000
1947,Space Force,Active,0
1947,Full Time Guard and Reserve,Active,0
1947,Army,Civilians,503000
1947,Navy and Marine Corps,Civilians,356000
1947,Air Force,Civilians,0
1947,Space Force,Civilians,0
1947,Defense Agencies,Civilians,0
1948,Army,Active,554000
1948,Navy,Active,418000
1948,Marine Corps,Active,85000
1948,Air Force,Active,388000
1948,Space Force,Active,0
1948,Full Time Guard and Reserve,Active,0
1948,Army,Civilians,303000
1948,Navy and Marine Corps,Civilians,347000
1948,Air Force,Civilians,152000
1948,Space Force,Civilians,0
1948,Defense Agencies,Civilians,1000
