source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1948,4232000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1948,175000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1948,3881000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1948,2995000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1948,405000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1948,215000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1948,11903000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1948,3238000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1948,71054000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1948,33659000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1948,4961000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1948,2046000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1948,213844000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1948,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1949,4601000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1949,193000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1949,4436000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1949,3251000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1949,484000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1949,239000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1949,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1949,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1949,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1949,13204000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1949,3552000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1949,74829000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1949,35022000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1949,5002000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1949,2214000000
