source.table,budget.type,deflator.type,FY,major.force.program,amount
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1962,strategic.forces,10641000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1963,strategic.forces,9718000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1964,strategic.forces,8387000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1965,strategic.forces,6241000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1966,strategic.forces,6023000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1967,strategic.forces,6217000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1968,strategic.forces,7156000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1969,strategic.forces,8457000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1970,strategic.forces,6928000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1971,strategic.forces,7196000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1972,strategic.forces,7158000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1973,strategic.forces,7141000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1974,strategic.forces,6694000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1975,strategic.forces,7075000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1976,strategic.forces,7135000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1977,strategic.forces,9062000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1978,strategic.forces,9149000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1979,strategic.forces,8322000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1980,strategic.forces,10992000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1981,strategic.forces,12290000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1982,strategic.forces,15387000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1983,strategic.forces,19578000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1984,strategic.forces,25938000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1985,strategic.forces,25974000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1986,strategic.forces,24015000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1987,strategic.forces,22343000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1988,strategic.forces,20122000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1989,strategic.forces,21331000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1990,strategic.forces,18432000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1991,strategic.forces,18809000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1992,strategic.forces,15410000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1993,strategic.forces,12787000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1994,strategic.forces,9138000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1995,strategic.forces,7712000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1996,strategic.forces,7443000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1997,strategic.forces,6145000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1998,strategic.forces,6687000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1999,strategic.forces,6759000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2000,strategic.forces,6927000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2001,strategic.forces,7010000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2002,strategic.forces,8239000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2003,strategic.forces,8162000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2004,strategic.forces,8795000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2005,strategic.forces,9025000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2006,strategic.forces,9737000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2007,strategic.forces,10027000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2008,strategic.forces,10683000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2009,strategic.forces,9827000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2010,strategic.forces,9920000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2011,strategic.forces,11991000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2012,strategic.forces,12599000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2013,strategic.forces,11143000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2014,strategic.forces,11663000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2015,strategic.forces,11654000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2016,strategic.forces,11299000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2017,strategic.forces,12702000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2018,strategic.forces,13810000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2019,strategic.forces,16265000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2020,strategic.forces,14838000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2021,strategic.forces,18072000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2022,strategic.forces,18962000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2023,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2024,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2025,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2026,strategic.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1962,strategic.forces,106159000000
