source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.army.6.16,TOA,current,MILPERS,1948,1688000000
tbl.army.6.16,TOA,current,OM,1948,1232000000
tbl.army.6.16,TOA,current,Procurement,1948,59000000
tbl.army.6.16,TOA,current,RDTE,1948,96000000
tbl.army.6.16,TOA,current,MILCON,1948,87000000
tbl.army.6.16,TOA,current,family.housing,1948,0
tbl.army.6.16,TOA,current,revolving.and.management,1948,0
tbl.army.6.16,TOA,constant,MILPERS,1948,39574000000
tbl.army.6.16,TOA,constant,OM,1948,26242000000
tbl.army.6.16,TOA,constant,Procurement,1948,625000000
tbl.army.6.16,TOA,constant,RDTE,1948,1309000000
tbl.army.6.16,TOA,constant,MILCON,1948,833000000
tbl.army.6.16,TOA,constant,family.housing,1948,0
tbl.army.6.16,TOA,constant,revolving.and.management,1948,0
tbl.army.6.16,TOA,current,MILPERS,1949,1900000000
tbl.army.6.16,TOA,current,OM,1949,1619000000
tbl.army.6.16,TOA,current,Procurement,1949,324000000
tbl.army.6.16,TOA,current,RDTE,1949,104000000
tbl.army.6.16,TOA,current,MILCON,1949,87000000
tbl.army.6.16,TOA,current,family.housing,1949,0
tbl.army.6.16,TOA,current,revolving.and.management,1949,0
tbl.army.6.16,TOA,constant,MILPERS,1949,44692000000
tbl.army.6.16,TOA,constant,OM,1949,29014000000
tbl.army.6.16,TOA,constant,Procurement,1949,3005000000
tbl.army.6.16,TOA,constant,RDTE,1949,1314000000
tbl.army.6.16,TOA,constant,MILCON,1949,812000000
tbl.army.6.16,TOA,constant,family.housing,1949,0
tbl.army.6.16,TOA,constant,revolving.and.management,1949,0
tbl.army.6.16,TOA,current,MILPERS,1950,1984000000
tbl.army.6.16,TOA,current,OM,1950,1671000000
tbl.army.6.16,TOA,current,Procurement,1950,400000000
tbl.army.6.16,TOA,current,RDTE,1950,117000000
tbl.army.6.16,TOA,current,MILCON,1950,116000000
tbl.army.6.16,TOA,current,family.housing,1950,0
tbl.army.6.16,TOA,current,revolving.and.management,1950,0
tbl.army.6.16,TOA,constant,MILPERS,1950,42561000000
tbl.army.6.16,TOA,constant,OM,1950,26369000000
tbl.army.6.16,TOA,constant,Procurement,1950,3768000000
tbl.army.6.16,TOA,constant,RDTE,1950,1387000000
tbl.army.6.16,TOA,constant,MILCON,1950,1050000000
tbl.army.6.16,TOA,constant,family.housing,1950,0
tbl.army.6.16,TOA,constant,revolving.and.management,1950,0
tbl.army.6.16,TOA,current,MILPERS,1951,4256000000
tbl.army.6.16,TOA,current,OM,1951,5525000000
tbl.army.6.16,TOA,current,Procurement,1951,7075000000
tbl.army.6.16,TOA,current,RDTE,1951,288000000
tbl.army.6.16,TOA,current,MILCON,1951,309000000
tbl.army.6.16,TOA,current,family.housing,1951,0
tbl.army.6.16,TOA,current,revolving.and.management,1951,0
tbl.army.6.16,TOA,constant,MILPERS,1951,81793000000
tbl.army.6.16,TOA,constant,OM,1951,62404000000
tbl.army.6.16,TOA,constant,Procurement,1951,59612000000
tbl.army.6.16,TOA,constant,RDTE,1951,3465000000
tbl.army.6.16,TOA,constant,MILCON,1951,2788000000
tbl.army.6.16,TOA,constant,family.housing,1951,0
tbl.army.6.16,TOA,constant,revolving.and.management,1951,0
tbl.army.6.16,TOA,current,MILPERS,1952,4993000000
tbl.army.6.16,TOA,current,OM,1952,6697000000
tbl.army.6.16,TOA,current,Procurement,1952,8992000000
tbl.army.6.16,TOA,current,RDTE,1952,456000000
tbl.army.6.16,TOA,current,MILCON,1952,548000000
tbl.army.6.16,TOA,current,family.housing,1952,0
tbl.army.6.16,TOA,current,revolving.and.management,1952,0
tbl.army.6.16,TOA,constant,MILPERS,1952,100969000000
tbl.army.6.16,TOA,constant,OM,1952,79149000000
tbl.army.6.16,TOA,constant,Procurement,1952,79288000000
tbl.army.6.16,TOA,constant,RDTE,1952,5043000000
tbl.army.6.16,TOA,constant,MILCON,1952,4861000000
tbl.army.6.16,TOA,constant,family.housing,1952,0
tbl.army.6.16,TOA,constant,revolving.and.management,1952,0
tbl.army.6.16,TOA,current,MILPERS,1953,5352000000
tbl.army.6.16,TOA,current,OM,1953,4758000000
tbl.army.6.16,TOA,current,Procurement,1953,2334000000
tbl.army.6.16,TOA,current,RDTE,1953,525000000
tbl.army.6.16,TOA,current,MILCON,1953,507000000
tbl.army.6.16,TOA,current,family.housing,1953,0
tbl.army.6.16,TOA,current,revolving.and.management,1953,0
tbl.army.6.16,TOA,constant,MILPERS,1953,100389000000
tbl.army.6.16,TOA,constant,OM,1953,59705000000
tbl.army.6.16,TOA,constant,Procurement,1953,22142000000
tbl.army.6.16,TOA,constant,RDTE,1953,5732000000
tbl.army.6.16,TOA,constant,MILCON,1953,4517000000
tbl.army.6.16,TOA,constant,family.housing,1953,0
tbl.army.6.16,TOA,constant,revolving.and.management,1953,0
tbl.army.6.16,TOA,current,MILPERS,1954,4696000000
tbl.army.6.16,TOA,current,OM,1954,3328000000
tbl.army.6.16,TOA,current,Procurement,1954,910000000
tbl.army.6.16,TOA,current,RDTE,1954,592000000
tbl.army.6.16,TOA,current,MILCON,1954,367000000
tbl.army.6.16,TOA,current,family.housing,1954,0
tbl.army.6.16,TOA,current,revolving.and.management,1954,0
tbl.army.6.16,TOA,constant,MILPERS,1954,90874000000
tbl.army.6.16,TOA,constant,OM,1954,44642000000
tbl.army.6.16,TOA,constant,Procurement,1954,9099000000
tbl.army.6.16,TOA,constant,RDTE,1954,6096000000
tbl.army.6.16,TOA,constant,MILCON,1954,3149000000
tbl.army.6.16,TOA,constant,family.housing,1954,0
tbl.army.6.16,TOA,constant,revolving.and.management,1954,0
tbl.army.6.16,TOA,current,MILPERS,1955,4455000000
tbl.army.6.16,TOA,current,OM,1955,3015000000
tbl.army.6.16,TOA,current,Procurement,1955,2036000000
tbl.army.6.16,TOA,current,RDTE,1955,704000000
tbl.army.6.16,TOA,current,MILCON,1955,603000000
tbl.army.6.16,TOA,current,family.housing,1955,0
tbl.army.6.16,TOA,current,revolving.and.management,1955,0
tbl.army.6.16,TOA,constant,MILPERS,1955,83659000000
tbl.army.6.16,TOA,constant,OM,1955,39794000000
tbl.army.6.16,TOA,constant,Procurement,1955,16993000000
tbl.army.6.16,TOA,constant,RDTE,1955,6847000000
tbl.army.6.16,TOA,constant,MILCON,1955,4907000000
tbl.army.6.16,TOA,constant,family.housing,1955,0
tbl.army.6.16,TOA,constant,revolving.and.management,1955,0
tbl.army.6.16,TOA,current,MILPERS,1956,3933000000
tbl.army.6.16,TOA,current,OM,1956,3031000000
tbl.army.6.16,TOA,current,Procurement,1956,1723000000
tbl.army.6.16,TOA,current,RDTE,1956,714000000
tbl.army.6.16,TOA,current,MILCON,1956,500000000
tbl.army.6.16,TOA,current,family.housing,1956,0
tbl.army.6.16,TOA,current,revolving.and.management,1956,0
tbl.army.6.16,TOA,constant,MILPERS,1956,71296000000
tbl.army.6.16,TOA,constant,OM,1956,38159000000
tbl.army.6.16,TOA,constant,Procurement,1956,13857000000
tbl.army.6.16,TOA,constant,RDTE,1956,6548000000
tbl.army.6.16,TOA,constant,MILCON,1956,4000000000
tbl.army.6.16,TOA,constant,family.housing,1956,0
tbl.army.6.16,TOA,constant,revolving.and.management,1956,0
tbl.army.6.16,TOA,current,MILPERS,1957,3952000000
tbl.army.6.16,TOA,current,OM,1957,3245000000
tbl.army.6.16,TOA,current,Procurement,1957,1589000000
tbl.army.6.16,TOA,current,RDTE,1957,735000000
tbl.army.6.16,TOA,current,MILCON,1957,398000000
tbl.army.6.16,TOA,current,family.housing,1957,0
tbl.army.6.16,TOA,current,revolving.and.management,1957,0
tbl.army.6.16,TOA,constant,MILPERS,1957,71952000000
tbl.army.6.16,TOA,constant,OM,1957,38667000000
tbl.army.6.16,TOA,constant,Procurement,1957,12001000000
tbl.army.6.16,TOA,constant,RDTE,1957,6370000000
tbl.army.6.16,TOA,constant,MILCON,1957,3200000000
tbl.army.6.16,TOA,constant,family.housing,1957,0
tbl.army.6.16,TOA,constant,revolving.and.management,1957,0
tbl.army.6.16,TOA,current,MILPERS,1958,3895000000
tbl.army.6.16,TOA,current,OM,1958,3319000000
tbl.army.6.16,TOA,current,Procurement,1958,1345000000
tbl.army.6.16,TOA,current,RDTE,1958,801000000
tbl.army.6.16,TOA,current,MILCON,1958,396000000
tbl.army.6.16,TOA,current,family.housing,1958,0
tbl.army.6.16,TOA,current,revolving.and.management,1958,0
tbl.army.6.16,TOA,constant,MILPERS,1958,67521000000
tbl.army.6.16,TOA,constant,OM,1958,37954000000
tbl.army.6.16,TOA,constant,Procurement,1958,10032000000
tbl.army.6.16,TOA,constant,RDTE,1958,6902000000
tbl.army.6.16,TOA,constant,MILCON,1958,3176000000
tbl.army.6.16,TOA,constant,family.housing,1958,0
tbl.army.6.16,TOA,constant,revolving.and.management,1958,0
tbl.army.6.16,TOA,current,MILPERS,1959,3924000000
tbl.army.6.16,TOA,current,OM,1959,3234000000
tbl.army.6.16,TOA,current,Procurement,1959,1097000000
tbl.army.6.16,TOA,current,RDTE,1959,1022000000
tbl.army.6.16,TOA,current,MILCON,1959,279000000
tbl.army.6.16,TOA,current,family.housing,1959,0
tbl.army.6.16,TOA,current,revolving.and.management,1959,0
tbl.army.6.16,TOA,constant,MILPERS,1959,64115000000
tbl.army.6.16,TOA,constant,OM,1959,36155000000
tbl.army.6.16,TOA,constant,Procurement,1959,8022000000
tbl.army.6.16,TOA,constant,RDTE,1959,8415000000
tbl.army.6.16,TOA,constant,MILCON,1959,2274000000
tbl.army.6.16,TOA,constant,family.housing,1959,0
tbl.army.6.16,TOA,constant,revolving.and.management,1959,0
tbl.army.6.16,TOA,current,MILPERS,1960,3922000000
tbl.army.6.16,TOA,current,OM,1960,3221000000
tbl.army.6.16,TOA,current,Procurement,1960,1388000000
tbl.army.6.16,TOA,current,RDTE,1960,1072000000
tbl.army.6.16,TOA,current,MILCON,1960,265000000
tbl.army.6.16,TOA,current,family.housing,1960,0
tbl.army.6.16,TOA,current,revolving.and.management,1960,0
tbl.army.6.16,TOA,constant,MILPERS,1960,63509000000
tbl.army.6.16,TOA,constant,OM,1960,34801000000
tbl.army.6.16,TOA,constant,Procurement,1960,10123000000
tbl.army.6.16,TOA,constant,RDTE,1960,8507000000
tbl.army.6.16,TOA,constant,MILCON,1960,2113000000
tbl.army.6.16,TOA,constant,family.housing,1960,0
tbl.army.6.16,TOA,constant,revolving.and.management,1960,0
tbl.army.6.16,TOA,current,MILPERS,1961,3979000000
tbl.army.6.16,TOA,current,OM,1961,3382000000
tbl.army.6.16,TOA,current,Procurement,1961,1755000000
tbl.army.6.16,TOA,current,RDTE,1961,1215000000
tbl.army.6.16,TOA,current,MILCON,1961,197000000
tbl.army.6.16,TOA,current,family.housing,1961,0
tbl.army.6.16,TOA,current,revolving.and.management,1961,0
tbl.army.6.16,TOA,constant,MILPERS,1961,63555000000
tbl.army.6.16,TOA,constant,OM,1961,34664000000
tbl.army.6.16,TOA,constant,Procurement,1961,12598000000
tbl.army.6.16,TOA,constant,RDTE,1961,9489000000
tbl.army.6.16,TOA,constant,MILCON,1961,1562000000
tbl.army.6.16,TOA,constant,family.housing,1961,0
tbl.army.6.16,TOA,constant,revolving.and.management,1961,0
tbl.army.6.16,TOA,current,MILPERS,1962,4458000000
tbl.army.6.16,TOA,current,OM,1962,3875000000
tbl.army.6.16,TOA,current,Procurement,1962,2578000000
tbl.army.6.16,TOA,current,RDTE,1962,1374000000
tbl.army.6.16,TOA,current,MILCON,1962,181000000
tbl.army.6.16,TOA,current,family.housing,1962,0
tbl.army.6.16,TOA,current,revolving.and.management,1962,0
tbl.army.6.16,TOA,constant,MILPERS,1962,71742000000
tbl.army.6.16,TOA,constant,OM,1962,38287000000
tbl.army.6.16,TOA,constant,Procurement,1962,18530000000
tbl.army.6.16,TOA,constant,RDTE,1962,10562000000
tbl.army.6.16,TOA,constant,MILCON,1962,1431000000
tbl.army.6.16,TOA,constant,family.housing,1962,0
tbl.army.6.16,TOA,constant,revolving.and.management,1962,0
tbl.army.6.16,TOA,current,MILPERS,1963,4343000000
tbl.army.6.16,TOA,current,OM,1963,3537000000
tbl.army.6.16,TOA,current,Procurement,1963,2503000000
tbl.army.6.16,TOA,current,RDTE,1963,1260000000
tbl.army.6.16,TOA,current,MILCON,1963,183000000
tbl.army.6.16,TOA,current,family.housing,1963,0
tbl.army.6.16,TOA,current,revolving.and.management,1963,0
tbl.army.6.16,TOA,constant,MILPERS,1963,68852000000
tbl.army.6.16,TOA,constant,OM,1963,34929000000
tbl.army.6.16,TOA,constant,Procurement,1963,17943000000
tbl.army.6.16,TOA,constant,RDTE,1963,9683000000
tbl.army.6.16,TOA,constant,MILCON,1963,1436000000
tbl.army.6.16,TOA,constant,family.housing,1963,0
tbl.army.6.16,TOA,constant,revolving.and.management,1963,0
tbl.army.6.16,TOA,current,MILPERS,1964,4616000000
tbl.army.6.16,TOA,current,OM,1964,3554000000
tbl.army.6.16,TOA,current,Procurement,1964,2480000000
tbl.army.6.16,TOA,current,RDTE,1964,1408000000
tbl.army.6.16,TOA,current,MILCON,1964,217000000
tbl.army.6.16,TOA,current,family.housing,1964,0
tbl.army.6.16,TOA,current,revolving.and.management,1964,0
tbl.army.6.16,TOA,constant,MILPERS,1964,68272000000
tbl.army.6.16,TOA,constant,OM,1964,34009000000
tbl.army.6.16,TOA,constant,Procurement,1964,17623000000
tbl.army.6.16,TOA,constant,RDTE,1964,10613000000
