Military.Department,FY,Account,Public.Law.Title,Amount,account.categories,Source_Data
Army,2001,Base,Military.Personnel,28837000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Personnel,222000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,Military.Personnel,32237000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,O.M,25507000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,O.M,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,O.M,865000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,O.M,30966000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,O.M,107000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,Procurement,11849000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Procurement,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Procurement,7000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,Procurement,11567000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Procurement,57000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,RDT.E,6216000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,RDT.E,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,RDT.E,5000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,RDT.E,7037000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,RDT.E,-7000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,Military.Construction,1591000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Construction,41000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,Military.Construction,2458000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Construction,56000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,Family..Housing,1179000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Family..Housing,26000000,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,Family..Housing,1378000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Base,Revolving.Funds...Other,12000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Revolving.Funds...Other,0,other,"FY22 Green Book, tbl 2.1"
Army,2002,Base,Revolving.Funds...Other,167000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,Military.Personnel,35534000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Personnel,8574000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,Military.Personnel,35814000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Military.Personnel,13775000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Military.Personnel,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,Military.Personnel,36808000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Military.Personnel,13940000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Military.Personnel,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,Military.Personnel,42397000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Military.Personnel,11926000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Military.Personnel,230000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Military.Personnel,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,Military.Personnel,42403000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Military.Personnel,14276000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Military.Personnel,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,Military.Personnel,46740000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Military.Personnel,14673000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,O.M,32988000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,O.M,17418000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,O.M,32849000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,O.M,38630000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,O.M,47000000,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,O.M,34652000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,O.M,24319000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,O.M,15000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,O.M,30665000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,O.M,44518000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,O.M,273000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,O.M,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,O.M,28985000000,base.discretionary,"FY22 Green Book, tbl 2.1"
