FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source
1970,Gross.Domestic.Product,0.18030000000000002,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1971,Gross.Domestic.Product,0.1895,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1972,Gross.Domestic.Product,0.1985,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1973,Gross.Domestic.Product,0.2071,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1974,Gross.Domestic.Product,0.22190000000000001,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1975,Gross.Domestic.Product,0.24480000000000002,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1976,Gross.Domestic.Product,0.2618,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1977,Gross.Domestic.Product,0.2807,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1978,Gross.Domestic.Product,0.29960000000000003,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1979,Gross.Domestic.Product,0.32380000000000003,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1980,Gross.Domestic.Product,0.35200000000000004,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1981,Gross.Domestic.Product,0.38670000000000004,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1982,Gross.Domestic.Product,0.41350000000000003,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1983,Gross.Domestic.Product,0.4316,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1984,Gross.Domestic.Product,0.447,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1985,Gross.Domestic.Product,0.462,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1986,Gross.Domestic.Product,0.47229999999999994,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1987,Gross.Domestic.Product,0.4829,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1988,Gross.Domestic.Product,0.4985,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1989,Gross.Domestic.Product,0.5186999999999999,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1990,Gross.Domestic.Product,0.5377000000000001,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
1991,Gross.Domestic.Product,0.5569,2018,Table 5-1: Department of Defense and Selected Economy-Wide Indices
